央视频道,#genre#
CCTV8电视剧,http://123.112.246.248:5555/rtp/239.3.1.175:8001$1920x1080
CCTV8电视剧,http://sweetown.fun:4000/rtp/239.3.1.175:8001$1920x1080
CCTV8电视剧,http://123.118.6.83:4022/rtp/239.3.1.175:8001$1920x1080
CCTV8电视剧,http://221.219.31.28:8888/rtp/239.3.1.175:8001$1920x1080
CCTV8电视剧,http://114.254.94.104:2222/rtp/239.3.1.175:8001$1920x1080
CCTV8电视剧,http://221.220.135.32:9999/rtp/239.3.1.175:8001$1920x1080
CCTV8电视剧,http://114.254.84.178:2222/rtp/239.3.1.175:8001$1920x1080
CCTV9记录,http://111.192.187.92:8012/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://111.196.132.243:8686/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://sweetown.fun:4000/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://123.112.246.248:5555/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://221.220.108.96:4000/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://123.118.6.83:4022/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://221.219.31.28:8888/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://114.254.94.104:2222/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://221.220.135.32:9999/rtp/239.3.1.62:8112$1920x1080
CCTV9记录,http://114.254.83.72:2222/rtp/239.3.1.62:8112$1920x1080
CCTV10科教,http://111.192.187.92:8012/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://111.196.132.243:8686/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://sweetown.fun:4000/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://123.112.246.248:5555/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://123.118.6.83:4022/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://221.219.31.28:8888/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://114.254.94.104:2222/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://221.220.135.32:9999/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://114.254.83.72:2222/rtp/239.3.1.63:8116$1920x1080
CCTV10科教,http://114.246.103.25:4000/rtp/239.3.1.63:8116$1920x1080
CCTV11戏曲,http://111.192.187.92:8012/rtp/239.3.1.152:8120$1920x1080
CCTV11戏曲,http://111.196.132.243:8686/rtp/239.3.1.152:8120$1920x1080
CCTV11戏曲,http://sweetown.fun:4000/rtp/239.3.1.152:8120$1920x1080
CCTV11戏曲,http://123.112.246.248:5555/rtp/239.3.1.152:8120$1920x1080
CCTV11戏曲,http://123.118.6.83:4022/rtp/239.3.1.152:8120$1920x1080
CCTV11戏曲,http://221.219.31.28:8888/rtp/239.3.1.152:8120$1920x1080
